Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Princé,385,385,3
Québriac,1616,1616,1
Quédillac,1207,1207,1
Rannée,1141,1141,1
Redon,9810,9810,9
Renac,1034,1034,1
Rennes,220925,220925,2
Retiers,4451,4451,4
Le Rheu,9027,9027,9
La Richardais,2375,2375,2
Rimou,340,340,3
Rives-du-Couesnon,2911,2911,2
Romagné,2457,2457,2
Romazy,257,257,2
Romillé,3977,3977,3
Roz-Landrieux,1367,1367,1
Roz-sur-Couesnon,1015,1015,1
Sains,490,490,4
Saint-Armel,2016,2016,2
Saint-Aubin-d'Aubigné,3878,3878,3
Saint-Aubin-des-Landes,971,971,9
Saint-Aubin-du-Cormier,3998,3998,3
Saint-Benoît-des-Ondes,1023,1023,1
Saint-Briac-sur-Mer,2132,2132,2
Saint-Brieuc-des-Iffs,349,349,3
Saint-Broladre,1154,1154,1
Saint-Christophe-de-Valains,227,227,2
Saint-Christophe-des-Bois,579,579,5
Saint-Coulomb,2791,2791,2
Saint-Didier,2079,2079,2
Saint-Domineuc,2581,2581,2
Saint-Erblon,3147,3147,3
Saint-Ganton,434,434,4
Saint-Georges-de-Gréhaigne,374,374,3
Saint-Georges-de-Reintembault,1523,1523,1
Saint-Germain-du-Pinel,930,930,9
Saint-Germain-en-Coglès,2081,2081,2
Saint-Germain-sur-Ille,939,939,9
Saint-Gilles,5066,5066,5
Saint-Gondran,548,548,5
Saint-Gonlay,359,359,3
Saint-Grégoire,10007,10007,1
Saint-Guinoux,1234,1234,1
Saint-Hilaire-des-Landes,1059,1059,1
Saint-Jacques-de-la-Lande,13239,13239,1
Saint-Jean-sur-Vilaine,1298,1298,1
Saint-Jouan-des-Guérets,2715,2715,2
Saint-Just,1091,1091,1
Saint-Léger-des-Prés,273,273,2
Saint-Lunaire,2439,2439,2
Saint-M'Hervé,1395,1395,1
Saint-Malo,47362,47362,4
Saint-Malo-de-Phily,1103,1103,1
Saint-Malon-sur-Mel,588,588,5
Saint-Marc-le-Blanc,1713,1713,1
Saint-Marcan,457,457,4
Saint-Maugan,555,555,5
Saint-Médard-sur-Ille,1309,1309,1
Saint-Méen-le-Grand,4808,4808,4
Saint-Méloir-des-Ondes,4188,4188,4
Saint-Onen-la-Chapelle,1168,1168,1
Saint-Ouen-des-Alleux,1318,1318,1
Saint-Péran,418,418,4
Saint-Père-Marc-en-Poulet,2452,2452,2
Saint-Pern,1051,1051,1
Saint-Rémy-du-Plain,841,841,8
Saint-Sauveur-des-Landes,1537,1537,1
Saint-Séglin,572,572,5
Saint-Senoux,1888,1888,1
Saint-Suliac,936,936,9
Saint-Sulpice-des-Landes,818,818,8
Saint-Sulpice-la-Forêt,1370,1370,1
Saint-Symphorien,664,664,6
Saint-Thual,935,935,9
Saint-Thurial,2127,2127,2
Saint-Uniac,542,542,5
Sainte-Anne-sur-Vilaine,1032,1032,1
Sainte-Colombe,357,357,3
Sainte-Marie,2313,2313,2
Saulnières,783,783,7
Le Sel-de-Bretagne,1124,1124,1
La Selle-en-Luitré,629,629,6
La Selle-Guerchaise,161,161,1
Sens-de-Bretagne,2594,2594,2
Servon-sur-Vilaine,3761,3761,3
Sixt-sur-Aff,2173,2173,2
Sougéal,581,581,5
Taillis,1027,1027,1
Talensac,2542,2542,2
Teillay,1073,1073,1
Le Theil-de-Bretagne,1767,1767,1
Thorigné-Fouillard,8673,8673,8
Thourie,820,820,8
Le Tiercent,177,177,1
Tinténiac,3809,3809,3
Torcé,1212,1212,1
Trans-la-Forêt,587,587,5
Treffendel,1281,1281,1
Trémeheuc,355,355,3
Tresbœuf,1275,1275,1
Trévérien,907,907,9
Trimer,214,214,2
Le Tronchet,1169,1169,1
Val-Couesnon,4285,4285,4
Val d'Anast,4057,4057,4
Val-d'Izé,2648,2648,2
Vergéal,828,828,8
Le Verger,1469,1469,1
Vern-sur-Seiche,8106,8106,8
Vezin-le-Coquet,5829,5829,5
Vieux-Viel,317,317,3
Vieux-Vy-sur-Couesnon,1222,1222,1
Vignoc,1934,1934,1
Villamée,319,319,3
La Ville-ès-Nonais,1236,1236,1
Visseiche,840,840,8
Vitré,18576,18576,1
Le Vivier-sur-Mer,1049,1049,1
Aigurande,1457,1457,1
Aize,116,116,1
Ambrault,914,914,9
Anjouin,334,334,3
Ardentes,3945,3945,3
Argenton-sur-Creuse,5140,5140,5
Argy,611,611,6
Arpheuilles,232,232,2
Arthon,1296,1296,1
Azay-le-Ferron,881,881,8
Badecon-le-Pin,761,761,7
Bagneux,176,176,1
Baraize,352,352,3
Baudres,444,444,4
Bazaiges,211,211,2
Beaulieu,56,56,5
Bélâbre,989,989,9
La Berthenoux,402,402,4
Le Blanc,6611,6611,6
Bommiers,310,310,3
Bonneuil,80,80,8
Les Bordes,915,915,9
Bouesse,443,443,4
Bouges-le-Château,271,271,2
Bretagne,148,148,1
Briantes,616,616,6
Brion,580,580,5
Brives,260,260,2
La Buxerette,111,111,1
Buxeuil,225,225,2
Buxières-d'Aillac,260,260,2
Buzançais,4580,4580,4
Ceaulmont,747,747,7
Celon,411,411,4
Chabris,2793,2793,2
Chaillac,1108,1108,1
Chalais,146,146,1
La Champenoise,274,274,2
Champillet,155,155,1
La Chapelle-Orthemale,111,111,1
La Chapelle-Saint-Laurian,150,150,1
Chasseneuil,713,713,7
Chassignolles,591,591,5
Châteauroux,45318,45318,4
Châtillon-sur-Indre,2622,2622,2
La Châtre,4229,4229,4
La Châtre-Langlin,529,529,5
Chavin,280,280,2
Chazelet,124,124,1
Chezelles,485,485,4
Chitray,187,187,1
Chouday,155,155,1
Ciron,583,583,5
Cléré-du-Bois,254,254,2
Clion,1044,1044,1
Cluis,1011,1011,1
Coings,904,904,9
Concremiers,667,667,6
Condé,248,248,2
Crevant,732,732,7
Crozon-sur-Vauvre,351,351,3
Cuzion,447,447,4
Déols,7665,7665,7
Diors,807,807,8
Diou,261,261,2
Douadic,459,459,4
Dun-le-Poëlier,432,432,4
Dunet,104,104,1
Écueillé,1282,1282,1
Éguzon-Chantôme,1415,1415,1
Étrechet,1032,1032,1
Feusines,216,216,2
Fléré-la-Rivière,561,561,5
Fontenay,89,89,8
Fontgombault,252,252,2
Fontguenand,241,241,2
Fougerolles,356,356,3
Francillon,79,79,7
Frédille,73,73,7
Gargilesse-Dampierre,294,294,2
Gehée,255,255,2
Giroux,119,119,1
Gournay,292,292,2
Guilly,250,250,2
Heugnes,402,402,4
Ingrandes,322,322,3
Issoudun,12199,12199,1
Jeu-les-Bois,400,400,4
Jeu-Maloches,128,128,1
Lacs,672,672,6
Langé,293,293,2
Levroux,2983,2983,2
Lignac,466,466,4
Lignerolles,103,103,1
Lingé,232,232,2
Liniez,334,334,3
Lizeray,83,83,8
Lourdoueix-Saint-Michel,320,320,3
Lourouer-Saint-Laurent,276,276,2
Luant,1543,1543,1
Lurais,252,252,2
Lureuil,266,266,2
Luzeret,154,154,1
Luçay-le-Libre,105,105,1
Luçay-le-Mâle,1375,1375,1
Lye,753,753,7
Lys-Saint-Georges,223,223,2
Le Magny,1105,1105,1
Maillet,269,269,2
Malicornay,198,198,1
Mâron,780,780,7
Martizay,972,972,9
Mauvières,318,318,3
Menetou-sur-Nahon,120,120,1
Ménétréols-sous-Vatan,119,119,1
Le Menoux,437,437,4
Méobecq,376,376,3
Mérigny,550,550,5
Mers-sur-Indre,663,663,6
Meunet-Planches,180,180,1
Meunet-sur-Vatan,196,196,1
Mézières-en-Brenne,1021,1021,1
Migné,286,286,2
Migny,135,135,1
Montchevrier,456,456,4
Montgivray,1637,1637,1
Montierchaume,1809,1809,1
Montipouret,570,570,5
Montlevicq,116,116,1
Mosnay,481,481,4
La Motte-Feuilly,61,61,6
Mouhers,234,234,2
Mouhet,428,428,4
Moulins-sur-Céphons,299,299,2
Murs,130,130,1
Néons-sur-Creuse,397,397,3
Néret,198,198,1
Neuillay-les-Bois,675,675,6
Neuvy-Pailloux,1216,1216,1
Neuvy-Saint-Sépulchre,1691,1691,1
Niherne,1618,1618,1
Nohant-Vic,464,464,4
Nuret-le-Ferron,312,312,3
Obterre,194,194,1
Orsennes,767,767,7
Orville,141,141,1
Oulches,412,412,4
Palluau-sur-Indre,801,801,8
Parnac,514,514,5
Paudy,455,455,4
Paulnay,330,330,3
Le Pêchereau,1903,1903,1
Pellevoisin,816,816,8
Pérassay,364,364,3
La Pérouille,470,470,4
Le Poinçonnet,6021,6021,6
Pommiers,230,230,2
Le Pont-Chrétien-Chabenet,936,936,9
Poulaines,865,865,8
Pouligny-Notre-Dame,723,723,7
Pouligny-Saint-Martin,226,226,2
Pouligny-Saint-Pierre,1097,1097,1
Préaux,162,162,1
Preuilly-la-Ville,166,166,1
Prissac,628,628,6
Pruniers,525,525,5
Reboursin,110,110,1
Reuilly,2064,2064,2
Rivarennes,571,571,5
Rosnay,532,532,5
Roussines,371,371,3
Rouvres-les-Bois,289,289,2
Ruffec,597,597,5
Sacierges-Saint-Martin,324,324,3
Saint-Aigny,294,294,2
Saint-Aoustrille,227,227,2
Saint-Août,850,850,8
Saint-Aubin,184,184,1
Saint-Benoît-du-Sault,622,622,6
Saint-Chartier,518,518,5
Saint-Christophe-en-Bazelle,382,382,3
Saint-Christophe-en-Boucherie,260,260,2
Saint-Civran,142,142,1
Saint-Cyran-du-Jambot,365,365,3
Saint-Denis-de-Jouhet,983,983,9
Saint-Florentin,541,541,5
Saint-Gaultier,1856,1856,1
Saint-Genou,987,987,9
Saint-Georges-sur-Arnon,589,589,5
Saint-Gilles,111,111,1
Saint-Hilaire-sur-Benaize,310,310,3
Saint-Lactencin,437,437,4
Saint-Marcel,1604,1604,1
Saint-Maur,3717,3717,3
Saint-Médard,48,48,4
Saint-Michel-en-Brenne,330,330,3
Saint-Pierre-de-Jards,124,124,1
Saint-Plantaire,630,630,6
Saint-Valentin,290,290,2
Sainte-Fauste,275,275,2
Sainte-Gemme,270,270,2
Sainte-Lizaigne,1200,1200,1
Sainte-Sévère-sur-Indre,789,789,7
Sarzay,318,318,3
Sassierges-Saint-Germain,485,485,4
Saulnay,160,160,1
Sauzelles,249,249,2
Sazeray,312,312,3
Ségry,517,517,5
Selles-sur-Nahon,72,72,7
Sembleçay,104,104,1
Sougé,148,148,1
Tendu,655,655,6
Thenay,910,910,9
Thevet-Saint-Julien,397,397,3
Thizay,239,239,2
Tilly,141,141,1
Tournon-Saint-Martin,1184,1184,1
Le Tranger,177,177,1
Tranzault,353,353,3
Urciers,253,253,2
Val-Fouzon,1006,1006,1
Valençay,2475,2475,2
Vatan,2029,2029,2
Velles,1006,1006,1
Vendœuvres,1080,1080,1
La Vernelle,755,755,7
Verneuil-sur-Igneraie,318,318,3
Veuil,384,384,3
Vicq-Exemplet,323,323,3
Vicq-sur-Nahon,748,748,7
Vigoulant,105,105,1
Vigoux,466,466,4
Vijon,307,307,3
Villedieu-sur-Indre,2745,2745,2
Villegongis,114,114,1
Villegouin,336,336,3
Villentrois-Faverolles-en-Berry,899,899,8
Villiers,172,172,1
Vineuil,1250,1250,1
Vouillon,237,237,2
Abilly,1170,1170,1
Ambillou,1815,1815,1
Amboise,12981,12981,1
Anché,427,427,4
Antogny-le-Tillac,515,515,5
Artannes-sur-Indre,2669,2669,2
Assay,170,170,1
Athée-sur-Cher,2710,2710,2
Autrèche,431,431,4
Auzouer-en-Touraine,2285,2285,2
Avoine,1780,1780,1
Avon-les-Roches,551,551,5
Avrillé-les-Ponceaux,490,490,4
Azay-le-Rideau,3589,3589,3
Azay-sur-Cher,3150,3150,3
Azay-sur-Indre,397,397,3
Ballan-Miré,8109,8109,8
Barrou,480,480,4
Beaulieu-lès-Loches,1803,1803,1
Beaumont-en-Véron,2823,2823,2
Beaumont-Louestault,1702,1702,1
Beaumont-Village,263,263,2
Benais,952,952,9
Berthenay,714,714,7
Betz-le-Château,579,579,5
Bléré,5344,5344,5
Bossay-sur-Claise,780,780,7
Bossée,335,335,3
Le Boulay,800,800,8
Bourgueil,3999,3999,3
Bournan,279,279,2
Boussay,224,224,2
Braslou,313,313,3
Braye-sous-Faye,316,316,3
Braye-sur-Maulne,177,177,1
Brèches,252,252,2
Bréhémont,776,776,7
Bridoré,534,534,5
Brizay,290,290,2
Bueil-en-Touraine,328,328,3
Candes-Saint-Martin,202,202,2
Cangey,1086,1086,1
La Celle-Guenand,377,377,3
La Celle-Saint-Avant,1104,1104,1
Céré-la-Ronde,462,462,4
Cerelles,1224,1224,1
Chambon,326,326,3
Chambourg-sur-Indre,1316,1316,1
Chambray-lès-Tours,11848,11848,1
Champigny-sur-Veude,859,859,8
Chanceaux-près-Loches,137,137,1
Chanceaux-sur-Choisille,3563,3563,3
Channay-sur-Lathan,855,855,8
Chançay,1156,1156,1
La Chapelle-aux-Naux,579,579,5
La Chapelle-Blanche-Saint-Martin,699,699,6
La Chapelle-sur-Loire,1461,1461,1
Charentilly,1287,1287,1
Chargé,1330,1330,1
Charnizay,519,519,5
Château-la-Vallière,1796,1796,1
Château-Renault,5080,5080,5
Chaumussay,233,233,2
Chaveignes,557,557,5
Chédigny,564,564,5
Cheillé,1822,1822,1
Chemillé-sur-Dême,728,728,7
Chemillé-sur-Indrois,230,230,2
Chenonceaux,356,356,3
Chezelles,135,135,1
Chinon,8567,8567,8
Chisseaux,613,613,6
Chouzé-sur-Loire,2105,2105,2
Cigogné,439,439,4
Cinais,437,437,4
Cinq-Mars-la-Pile,3614,3614,3
Ciran,422,422,4
Civray-de-Touraine,1885,1885,1
Civray-sur-Esves,205,205,2
Cléré-les-Pins,1431,1431,1
Continvoir,418,418,4
Cormery,1805,1805,1
Coteaux-sur-Loire,1948,1948,1
Couesmes,507,507,5
Courcelles-de-Touraine,501,501,5
Courcoué,264,264,2
Courçay,828,828,8
Couziers,113,113,1
Cravant-les-Côteaux,690,690,6
Crissay-sur-Manse,101,101,1
La Croix-en-Touraine,2354,2354,2
Crotelles,697,697,6
Crouzilles,537,537,5
Cussay,587,587,5
Dame-Marie-les-Bois,359,359,3
Descartes,3554,3554,3
Dierre,618,618,6
Dolus-le-Sec,696,696,6
Draché,764,764,7
Druye,962,962,9
Épeigné-les-Bois,430,430,4
Épeigné-sur-Dême,161,161,1
Esves-le-Moutier,146,146,1
Esvres,6120,6120,6
Faye-la-Vineuse,258,258,2
La Ferrière,316,316,3
Ferrière-Larçon,252,252,2
Ferrière-sur-Beaulieu,752,752,7
Fondettes,10799,10799,1
Francueil,1410,1410,1
Genillé,1538,1538,1
Gizeux,396,396,3
Le Grand-Pressigny,935,935,9
La Guerche,181,181,1
Les Hermites,578,578,5
Hommes,894,894,8
Huismes,1512,1512,1
L' Île-Bouchard,1588,1588,1
Jaulnay,262,262,2
Joué-lès-Tours,38340,38340,3
Langeais,4718,4718,4
Larçay,2502,2502,2
Lémeré,520,520,5
Lerné,306,306,3
Le Liège,373,373,3
Lignières-de-Touraine,1327,1327,1
Ligré,1086,1086,1
Ligueil,2226,2226,2
Limeray,1332,1332,1
Loché-sur-Indrois,515,515,5
Loches,6837,6837,6
Louans,661,661,6
Le Louroux,534,534,5
Lublé,148,148,1
Lussault-sur-Loire,804,804,8
Luynes,5242,5242,5
Luzé,255,255,2
Luzillé,998,998,9
Maillé,583,583,5
Manthelan,1392,1392,1
Marcé-sur-Esves,243,243,2
Marcilly-sur-Maulne,235,235,2
Marcilly-sur-Vienne,564,564,5
Marigny-Marmande,601,601,6
Marray,478,478,4
Marçay,525,525,5
Mazières-de-Touraine,1345,1345,1
La Membrolle-sur-Choisille,3386,3386,3
Mettray,2143,2143,2
Monnaie,4489,4489,4
Montbazon,4399,4399,4
Monthodon,638,638,6
Montlouis-sur-Loire,10817,10817,1
Montrésor,346,346,3
Montreuil-en-Touraine,846,846,8
Monts,7935,7935,7
Morand,353,353,3
Mosnes,816,816,8
Mouzay,491,491,4
Nazelles-Négron,3590,3590,3
Neuil,445,445,4
Neuillé-le-Lierre,801,801,8
Neuillé-Pont-Pierre,2041,2041,2
Neuilly-le-Brignon,309,309,3
Neuville-sur-Brenne,926,926,9
Neuvy-le-Roi,1136,1136,1
Noizay,1158,1158,1
Notre-Dame-d'Oé,4205,4205,4
Nouans-les-Fontaines,759,759,7
Nouâtre,836,836,8
Nouzilly,1280,1280,1
Noyant-de-Touraine,1275,1275,1
Orbigny,747,747,7
Panzoult,599,599,5
Parçay-Meslay,2398,2398,2
Parçay-sur-Vienne,650,650,6
Paulmy,243,243,2
Pernay,1362,1362,1
Perrusson,1514,1514,1
Le Petit-Pressigny,343,343,3
Pocé-sur-Cisse,1712,1712,1
Pont-de-Ruan,1201,1201,1
Ports,366,366,3
Pouzay,885,885,8
Preuilly-sur-Claise,1025,1025,1
Pussigny,172,172,1
Razines,242,242,2
Reignac-sur-Indre,1256,1256,1
Restigné,1252,1252,1
Reugny,1723,1723,1
La Riche,10543,10543,1
Richelieu,1736,1736,1
Rigny-Ussé,514,514,5
Rillé,314,314,3
Rilly-sur-Vienne,498,498,4
Rivarennes,1016,1016,1
Rivière,713,713,7
La Roche-Clermault,529,529,5
Rochecorbon,3237,3237,3
Rouziers-de-Touraine,1339,1339,1
Saché,1411,1411,1
Saint-Antoine-du-Rocher,1757,1757,1
Saint-Aubin-le-Dépeint,317,317,3
Saint-Avertin,15340,15340,1
Saint-Benoît-la-Forêt,868,868,8
Saint-Branchs,2638,2638,2
Saint-Christophe-sur-le-Nais,1143,1143,1
Saint-Cyr-sur-Loire,16316,16316,1
Saint-Épain,1596,1596,1
Saint-Étienne-de-Chigny,1625,1625,1
Saint-Flovier,574,574,5
Saint-Genouph,1067,1067,1
Saint-Germain-sur-Vienne,379,379,3
Saint-Hippolyte,654,654,6
Saint-Jean-Saint-Germain,789,789,7
Saint-Laurent-de-Lin,323,323,3
Saint-Laurent-en-Gâtines,963,963,9
Saint-Martin-le-Beau,3214,3214,3
Saint-Nicolas-de-Bourgueil,1123,1123,1
Saint-Nicolas-des-Motets,268,268,2
Saint-Ouen-les-Vignes,1044,1044,1
Saint-Paterne-Racan,1693,1693,1
Saint-Pierre-des-Corps,16076,16076,1
Saint-Quentin-sur-Indrois,520,520,5
Saint-Règle,620,620,6
Saint-Roch,1273,1273,1
Saint-Senoch,576,576,5
Sainte-Catherine-de-Fierbois,772,772,7
Sainte-Maure-de-Touraine,4264,4264,4
Saunay,710,710,7
Savigné-sur-Lathan,1368,1368,1
Savigny-en-Véron,1572,1572,1
Savonnières,3228,3228,3
Sazilly,247,247,2
Semblançay,2216,2216,2
Sennevières,213,213,2
Sepmes,639,639,6
Seuilly,374,374,3
Sonzay,1406,1406,1
Sorigny,2718,2718,2
Souvigné,850,850,8
Souvigny-de-Touraine,395,395,3
Sublaines,197,197,1
Tauxigny-Saint-Bauld,1720,1720,1
Tavant,264,264,2
Theneuil,303,303,3
Thilouze,1744,1744,1
Thizay,285,285,2
La Tour-Saint-Gelin,531,531,5
Tournon-Saint-Pierre,470,470,4
Tours,138616,138616,1
Trogues,314,314,3
Truyes,2474,2474,2
Vallères,1260,1260,1
Varennes,250,250,2
Veigné,6397,6397,6
Véretz,4575,4575,4
Verneuil-le-Château,126,126,1
Verneuil-sur-Indre,501,501,5
Vernou-sur-Brenne,2748,2748,2
Villaines-les-Rochers,1078,1078,1
Villandry,1150,1150,1
La Ville-aux-Dames,5562,5562,5
Villebourg,301,301,3
Villedômain,118,118,1
Villedômer,1390,1390,1
Villeloin-Coulangé,603,603,6
Villeperdue,1037,1037,1
Villiers-au-Bouin,762,762,7
Vou,208,208,2
Vouvray,3310,3310,3
Yzeures-sur-Creuse,1406,1406,1
Les Abrets en Dauphiné,6415,6415,6
Les Adrets,1029,1029,1
Agnin,1117,1117,1
L' Albenc,1266,1266,1
Allemond,989,989,9
Allevard,4210,4210,4
Ambel,28,28,2
Anjou,1036,1036,1
Annoisin-Chatelans,694,694,6
Anthon,1073,1073,1
Aoste,2932,2932,2
Apprieu,3401,3401,3
Arandon-Passins,1840,1840,1
Artas,1847,1847,1
Assieu,1493,1493,1
Auberives-en-Royans,387,387,3
Auberives-sur-Varèze,1513,1513,1
Auris,194,194,1
Autrans-Méaudre en Vercors,3116,3116,3
Les Avenières Veyrins-Thuellin,7896,7896,7
Avignonet,202,202,2
La Balme-les-Grottes,1072,1072,1
Barraux,1940,1940,1
La Bâtie-Montgascon,1961,1961,1
Beaucroissant,1712,1712,1
Beaufin,20,20,2
Beaufort,559,559,5
Beaulieu,657,657,6
Beaurepaire,5003,5003,5
Beauvoir-de-Marc,1136,1136,1
Beauvoir-en-Royans,94,94,9
Bellegarde-Poussieu,1004,1004,1
Belmont,609,609,6
Bernin,3176,3176,3
Besse,130,130,1
Bessins,119,119,1
Bévenais,1028,1028,1
Bilieu,1586,1586,1
Biol,1459,1459,1
Biviers,2497,2497,2
Bizonnes,971,971,9
Blandin,148,148,1
Bonnefamille,1114,1114,1
Bossieu,301,301,3
Le Bouchage,632,632,6
Bougé-Chambalud,1396,1396,1
Le Bourg-d'Oisans,3380,3380,3
Bourgoin-Jallieu,29024,29024,2
Bouvesse-Quirieu,1533,1533,1
Brangues,634,634,6
Bressieux,95,95,9
Bresson,699,699,6
Brézins,2162,2162,2
Brié-et-Angonnes,2598,2598,2
Brion,149,149,1
La Buisse,3209,3209,3
La Buissière,688,688,6
Burcin,437,437,4
Cessieu,3059,3059,3
Châbons,2128,2128,2
Chalon,185,185,1
Chamagnieu,1711,1711,1
Le Champ-près-Froges,1211,1211,1
Champ-sur-Drac,3041,3041,3
Champagnier,1256,1256,1
Champier,1421,1421,1
Chamrousse,427,427,4
Chanas,2631,2631,2
Chantepérier,206,206,2
Chantesse,343,343,3
Chapareillan,3076,3076,3
La Chapelle-de-la-Tour,1872,1872,1
La Chapelle-de-Surieu,767,767,7
La Chapelle-du-Bard,578,578,5
Charancieu,794,794,7
Charantonnay,1953,1953,1
Charavines,1970,1970,1
Charette,474,474,4
Charnècles,1464,1464,1
Charvieu-Chavagneux,9740,9740,9
Chasse-sur-Rhône,6105,6105,6
Chasselay,414,414,4
Chassignieu,236,236,2
Château-Bernard,272,272,2
Châteauvilain,728,728,7
Châtel-en-Trièves,461,461,4
Châtelus,91,91,9
Châtenay,447,447,4
Châtonnay,2115,2115,2
Chatte,2721,2721,2
Chavanoz,4746,4746,4
Chélieu,690,690,6
Chevrières,731,731,7
Le Cheylas,2608,2608,2
Cheyssieu,1040,1040,1
Chèzeneuve,609,609,6
Chichilianne,307,307,3
Chimilin,1485,1485,1
Chirens,2381,2381,2
Cholonge,330,330,3
Chonas-l'Amballan,1720,1720,1
Choranche,121,121,1
Chozeau,1090,1090,1
Chuzelles,2227,2227,2
Claix,8129,8129,8
Clavans-en-Haut-Oisans,102,102,1
Clelles,549,549,5
Clonas-sur-Varèze,1490,1490,1
Cognet,42,42,4
Cognin-les-Gorges,646,646,6
Colombe,1617,1617,1
La Combe-de-Lancey,718,718,7
Corbelin,2282,2282,2
Corenc,4140,4140,4
Cornillon-en-Trièves,170,170,1
Corps,491,491,4
Corrençon-en-Vercors,372,372,3
La Côte-Saint-André,5097,5097,5
Les Côtes-d'Arey,2100,2100,2
Les Côtes-de-Corps,71,71,7
Coublevie,5231,5231,5
Cour-et-Buis,898,898,8
Courtenay,1297,1297,1
Crachier,523,523,5
Cras,451,451,4
Crémieu,3344,3344,3
Crêts en Belledonne,3392,3392,3
Creys-Mépieu,1522,1522,1
Crolles,8499,8499,8
Culin,759,759,7
Les Deux Alpes,1944,1944,1
Diémoz,2757,2757,2
Dizimieu,863,863,8
Doissin,906,906,9
Dolomieu,3238,3238,3
Domarin,1697,1697,1
Domène,6815,6815,6
Échirolles,37051,37051,3
Eclose-Badinières,1462,1462,1
Engins,475,475,4
Entraigues,232,232,2
Entre-deux-Guiers,1792,1792,1
Les Éparres,1016,1016,1
Estrablin,3452,3452,3
Eybens,10302,10302,1
Eydoche,546,546,5
Eyzin-Pinet,2364,2364,2
Faramans,1044,1044,1
Faverges-de-la-Tour,1485,1485,1
La Flachère,504,504,5
Flachères,529,529,5
Fontaine,22790,22790,2
Fontanil-Cornillon,2749,2749,2
La Forteresse,326,326,3
Four,1524,1524,1
Le Freney-d'Oisans,258,258,2
La Frette,1117,1117,1
Froges,3392,3392,3
Frontonas,2122,2122,2
La Garde,98,98,9
Gières,6861,6861,6
Gillonnay,1040,1040,1
Goncelin,2461,2461,2
Le Grand-Lemps,3152,3152,3
Granieu,510,510,5
Grenay,1626,1626,1
Grenoble,160625,160625,1
Gresse-en-Vercors,398,398,3
Le Gua,1804,1804,1
Le Haut-Bréda,409,409,4
Herbeys,1387,1387,1
Heyrieux,4795,4795,4
Hières-sur-Amby,1219,1219,1
Huez,1341,1341,1
Hurtières,174,174,1
L' Isle-d'Abeau,16405,16405,1
Izeaux,2181,2181,2
Izeron,735,735,7
Janneyrias,1845,1845,1
Jarcieu,1059,1059,1
Jardin,2264,2264,2
Jarrie,3814,3814,3
Laffrey,463,463,4
Lalley,199,199,1
Lans-en-Vercors,2776,2776,2
Laval,1021,1021,1
Lavaldens,154,154,1
Lavars,151,151,1
Lentiol,229,229,2
Leyrieu,852,852,8
Lieudieu,346,346,3
Livet-et-Gavet,1325,1325,1
Longechenal,583,583,5
Lumbin,2208,2208,2
Luzinay,2345,2345,2
Malleval-en-Vercors,54,54,5
Marcieu,74,74,7
Marcilloles,1124,1124,1
Marcollin,680,680,6
Marnans,150,150,1
Massieu,764,764,7
Maubec,1806,1806,1
Mayres-Savel,101,101,1
Mens,1473,1473,1
Merlas,497,497,4
Meylan,17528,17528,1
Meyrié,1035,1035,1
Meyrieu-les-Étangs,1055,1055,1
Meyssiez,645,645,6
Miribel-Lanchâtre,441,441,4
Miribel-les-Échelles,1759,1759,1
Mizoën,195,195,1
Moidieu-Détourbe,1924,1924,1
Moirans,8014,8014,8
Moissieu-sur-Dolon,721,721,7
Monestier-d'Ambel,21,21,2
Monestier-de-Clermont,1458,1458,1
Le Monestier-du-Percy,257,257,2
Monsteroux-Milieu,811,811,8
Mont-Saint-Martin,83,83,8
Montagne,272,272,2
Montagnieu,1101,1101,1
Montalieu-Vercieu,3419,3419,3
Montaud,565,565,5
Montbonnot-Saint-Martin,5692,5692,5
Montcarra,540,540,5
Montchaboud,348,348,3
Monteynard,499,499,4
Montfalcon,133,133,1
Montferrat,1809,1809,1
Montrevel,463,463,4
Montseveroux,977,977,9
Moras,529,529,5
Morestel,4568,4568,4
Morette,435,435,4
La Morte,132,132,1
La Motte-d'Aveillans,1734,1734,1
La Motte-Saint-Martin,453,453,4
Mottier,727,727,7
Le Moutaret,264,264,2
La Mure,5157,5157,5
La Murette,1949,1949,1
Murianette,893,893,8
Murinais,405,405,4
Nantes-en-Ratier,485,485,4
Nivolas-Vermelle,2702,2702,2
Notre-Dame-de-Commiers,524,524,5
Notre-Dame-de-l'Osier,501,501,5
Notre-Dame-de-Mésage,1159,1159,1
Notre-Dame-de-Vaulx,531,531,5
Noyarey,2299,2299,2
Optevoz,858,858,8
Oris-en-Rattier,118,118,1
Ornacieux-Balbins,870,870,8
Ornon,156,156,1
Oulles,7,7,7
Oyeu,1025,1025,1
Oytier-Saint-Oblas,1663,1663,1
Oz,239,239,2
Pact,856,856,8
Pajay,1164,1164,1
Panossas,682,682,6
Parmilieu,721,721,7
Le Passage,835,835,8
Le Péage-de-Roussillon,6756,6756,6
Pellafol,138,138,1
Penol,359,359,3
Percy,176,176,1
La Pierre,579,579,5
Pierre-Châtel,1532,1532,1
Pisieu,540,540,5
Plan,263,263,2
Plateau-des-Petites-Roches,2508,2508,2
Poisat,2196,2196,2
Poliénas,1204,1204,1
Pommier-de-Beaurepaire,719,719,7
Ponsonnas,306,306,3
Le Pont-de-Beauvoisin,3771,3771,3
Pont-de-Chéruy,5814,5814,5
